A	(A)[N]
avancieren	((Avance)[N],(ier)[V|N.])[V]
Avantgardist	((Avantgarde)[N],(ist)[N|N.])[N]
avantgardistisch	((Avantgarde)[N],(istisch)[A|N.])[A]
Ave	(Ave)[N]
avisieren	((Avis)[N],(ier)[V|N.])[V]
Axialitaet	((axial)[A],(itaet)[N|A.])[N]
Axialverschiebung	((axial)[A],(((ver)[V|.V],(schieb)[V])[V],(ung)[N|V.])[N])[N]
Axiom	(Axiom)[N]
Axiomatik	((Axiom)[N],(atik)[N|N.])[N]
axiomatisch	((Axiom)[N],(atisch)[A|N.])[A]
Axt	(Axt)[N]
Axthelm	((Axt)[N],(Helm)[N])[N]
Axthieb	((Axt)[N],(Hieb)[N])[N]
Azalee	(Azalee)[N]
Azalie	(Azalie)[N]
Azephale	((Azephale)[F])[N]
Azephalie	((azephal)[A],(ie)[N|A.])[N]
azoisch	((azo)[R],(isch)[A|R.])[A]
Aztekenreich	((Azteke)[N],(n)[N|N.N],(Reich)[N])[N]
Azur	(Azur)[N]
azurblau	((Azur)[N],(blau)[A])[A]
azuriert	((Azur)[N],(iert)[A|N.])[A]
Azurit	((Azur)[N],(it)[N|N.])[N]
azurn	((Azur)[N],(n)[A|N.])[A]
azyklisch	((a)[A|.A],((zykl)[R],(isch)[A|R.])[A])[A]
B	(B)[N]
Baas	(Baas)[N]
babbeln	(babbel)[V]
Babusche	(Babusche)[N]
Baby	(Baby)[N]
Bach	(Bach)[N]
Bache	(Bache)[N]
backen	(back)[V]
backen	(back)[V]
Back	(Back)[N]
Back	(Back)[N]
back	(back)[B]
backbord	((back)[B],(Bord)[N])[B]
Backbord	(((back)[B],(Bord)[N])[B])[N]
backbords	(((back)[B],(Bord)[N])[B],(s)[B|B.])[B]
Baeckchen	((Backe)[N],(chen)[N|N.])[N]
Backe	(Backe)[N]
Backenbart	((Backe)[N],(n)[N|N.N],(Bart)[N])[N]
Baecker	((back)[V],(er)[N|V.])[N]
Baeckerei	((back)[V],(erei)[N|V.])[N]
Backfisch	((back)[V],(Fisch)[N])[N]
Backobst	((back)[V],(Obst)[N])[N]
Backofen	((back)[V],(Ofen)[N])[N]
Backpfeife	((Backe)[N],((pfeif)[V],(e)[N|V.])[N])[N]
Backpflaume	((back)[V],(Pflaume)[N])[N]
Backpulver	((back)[V],(Pulver)[N])[N]
Backroehre	((back)[V],(Roehre)[N])[N]
Backschaft	((Back)[N],(schaft)[N|N.])[N]
Backstein	((back)[V],(Stein)[N])[N]
Backware	((back)[V],(Ware)[N])[N]
Backzahn	((Backe)[N],(Zahn)[N])[N]
baden	((Bad)[N])[V]
Bad	(Bad)[N]
Badeanstalt	(((Bad)[N])[V],(e)[N|V.N],(Anstalt)[N])[N]
Badeanzug	(((Bad)[N])[V],(e)[N|V.N],(((an)[V|.V],(zieh)[V])[V])[N])[N]
Badearzt	(((Bad)[N])[V],(e)[N|V.N],(Arzt)[N])[N]
Badehose	(((Bad)[N])[V],(e)[N|V.N],(Hose)[N])[N]
Bademantel	(((Bad)[N])[V],(e)[N|V.N],(Mantel)[N])[N]
Badematte	(((Bad)[N])[V],(e)[N|V.N],(Matte)[N])[N]
Bademeister	(((Bad)[N])[V],(e)[N|V.N],(Meister)[N])[N]
Badeort	(((Bad)[N])[V],(e)[N|V.N],(Ort)[N])[N]
Bader	((Bad)[N],(er)[N|N.])[N]
Badesaison	(((Bad)[N])[V],(e)[N|V.N],(Saison)[N])[N]
Badesalz	(((Bad)[N])[V],(e)[N|V.N],(Salz)[N])[N]
Badetuch	(((Bad)[N])[V],(e)[N|V.N],(Tuch)[N])[N]
Badewanne	(((Bad)[N])[V],(e)[N|V.N],(Wanne)[N])[N]
Badezeit	(((Bad)[N])[V],(e)[N|V.N],(Zeit)[N])[N]
Badezimmer	(((Bad)[N])[V],(e)[N|V.N],(Zimmer)[N])[N]
Baedeker	(Baedeker)[N]
bagatellisieren	((Bagatelle)[N],(isier)[V|N.])[V]
Bagatellsache	((Bagatelle)[N],(Sache)[N])[N]
Bagger	(Bagger)[N]
baggern	((Bagger)[N])[V]
Baggerfuehrer	((Bagger)[N],(fuehr)[V],(er)[N|NV.])[N]
baehen	((bah)[I])[V]
bahnen	((Bahn)[N])[V]
Bahn	(Bahn)[N]
bahnamtlich	((Bahn)[N],((Amt)[N],(lich)[A|N.])[A])[A]
bahnbrechend	((Bahn)[N],(brechend)[F])[A]
Bahnbrecher	((Bahn)[N],((brech)[V],(er)[N|V.])[N])[N]
bahnenweise	((Bahn)[N],(en)[B|N.A],(weise)[A])[B]
Bahnhof	((Bahn)[N],(Hof)[N])[N]
Bahnhofsbuffet	(((Bahn)[N],(Hof)[N])[N],(s)[N|N.N],(Buffet)[N])[N]
Bahnhofshalle	(((Bahn)[N],(Hof)[N])[N],(s)[N|N.N],(Halle)[N])[N]
Bahnhofsvorstand	(((Bahn)[N],(Hof)[N])[N],(s)[N|N.N],(((vor)[P],(steh)[V])[V])[N])[N]
Bahnlinie	((Bahn)[N],(Linie)[N])[N]
Bahnsteig	((Bahn)[N],((steig)[V])[N])[N]
Bahnwaerter	((Bahn)[N],(((waert)[F])[N],(er)[N|N.])[N])[N]
Bahre	(Bahre)[N]
Bahrtuch	((Bahre)[N],(Tuch)[N])[N]
Baehung	(((bah)[I])[V],(ung)[N|V.])[N]
Bajonett	(Bajonett)[N]
baken	(bak)[V]
Bake	(Bake)[N]
Bakelit	(Bakelit)[N]
Bakschisch	(Bakschisch)[N]
Bakterie	(Bakterie)[N]
bakteriell	((Bakterie)[N],(ell)[A|N.])[A]
bakterienbestaendig	((Bakterie)[N],(n)[A|N.A],(((besteh)[V])[N],(ig)[A|N.])[A])[A]
Bakteriologe	((Bakterie)[N],(ologe)[N|N.])[N]
bakteriologisch	((Bakteriologie)[N],(isch)[A|N.])[A]
Bakteriose	((Bakterie)[N],(ose)[N|N.])[N]
Bakterium	((Bakterie)[N],(um)[N|N.])[N]
Balalaika	(Balalaika)[N]
Balance	(Balance)[N]
balancieren	((Balance)[N],(ier)[V|N.])[V]
balbieren	(balbier)[V]
bald	(bald)[B]
baldig	((bald)[B],(ig)[A|B.])[A]
baldigst	((baldigst)[F])[B]
baldowern	((Baldower)[N])[V]
Balg	(Balg)[N]
Balg	(Balg)[N]
Balgen	(Balgen)[N]
Baelkchen	((Balken)[N],(chen)[N|N.])[N]
Balken	(Balken)[N]
Balkon	(Balkon)[N]
ballen	((Ball)[N])[V]
Ball	(Ball)[N]
Ballade	(Ballade)[N]
Ballast	(Ballast)[N]
Baellchen	((Ball)[N],(chen)[N|N.])[N]
Ballerina	(((Ball)[N],(ett)[N|N.])[N],(ina)[N|N.])[N]
Ballerine	(((Ball)[N],(ett)[N|N.])[N],(ine)[N|N.])[N]
Ballett	((Ball)[N],(ett)[N|N.])[N]
Ballettaenzerin	(((Ball)[N],(ett)[N|N.])[N],((((Tanz)[N])[V],(er)[N|V.])[N],(in)[N|N.])[N])[N]
ballig	((Ball)[N],(ig)[A|N.])[A]
Ballistik	((Balliste)[N],(ik)[N|N.])[N]
ballistisch	((Balliste)[N],(isch)[A|N.])[A]
Balljunge	((Ball)[N],((Junge)[F])[N])[N]
Ballkleid	((Ball)[N],(Kleid)[N])[N]
Ballnacht	((Ball)[N],(Nacht)[N])[N]
Ballon	(Ballon)[N]
Ballonmuetze	((Ballon)[N],(Muetze)[N])[N]
Ballot	(Ballot)[N]
Ballspiel	((Ball)[N],(Spiel)[N])[N]
Ballung	(((Ball)[N])[V],(ung)[N|V.])[N]
Ballungsgebiet	((((Ball)[N])[V],(ung)[N|V.])[N],(s)[N|N.N],(Gebiet)[N])[N]
Balsa	(Balsa)[N]
balsamieren	((Balsam)[N],(ier)[V|N.])[V]
Baltenland	((Balte)[N],(n)[N|N.N],(Land)[N])[N]
balzen	(balz)[V]
Bambus	(Bambus)[N]
Banane	(Banane)[N]
Bananenstecker	((Banane)[N],(n)[N|N.N],((steck)[V],(er)[N|V.])[N])[N]
Band	((bind)[V])[N]
Band	(Band)[N]
Band	((bind)[V])[N]
Band	((bind)[V])[N]
bandagieren	((Bandage)[N],(ier)[V|N.])[V]
Bandagist	((Bandage)[N],(ist)[N|N.])[N]
Bandaufnahme	(((bind)[V])[N],(((auf)[V|.V],(nehm)[V])[V])[N])[N]
Bandaufnahmegeraet	((((bind)[V])[N],(((auf)[V|.V],(nehm)[V])[V])[N])[N],((ge)[N|.N],(Rat)[N])[N])[N]
Bandbreite	(((bind)[V])[N],((breit)[A],(e)[N|A.])[N])[N]
Baendchen	(((bind)[V])[N],(chen)[N|N.])[N]
Bande	(Bande)[N]
Bandeisen	(((bind)[V])[N],(Eisen)[N])[N]
bandeln	(bandel)[V]
baendeln	(baendel)[V]
Bandenspektrum	(((bind)[V])[N],(en)[N|N.N],((spektr)[R],(um)[N|R.])[N])[N]
baendigen	(((bind)[V])[N],(ig)[V|N.])[V]
Baendiger	((((bind)[V])[N],(ig)[V|N.])[V],(er)[N|V.])[N]
Baendlein	(((bind)[V])[N],(lein)[N|N.])[N]
Bandmass	(((bind)[V])[N],(Mass)[N])[N]
Bandsaege	(((bind)[V])[N],(Saege)[N])[N]
Bandwurm	(((bind)[V])[N],(Wurm)[N])[N]
bangen	(bang)[V]
bang	(bang)[A]
bange	(bange)[A]
Bank	(Bank)[N]
Bank	(Bank)[N]
Bankbuch	((Bank)[N],(Buch)[N])[N]
Baenkchen	((Bank)[N],(chen)[N|N.])[N]
bankeigene	((Bank)[N],(eigen)[A],(e)[A|NA.])[A]
Baenkellied	((Bank)[N],(el)[N|N.N],(Lied)[N])[N]
Baenkelsaenger	((Bank)[N],(el)[N|N.N],(((sing)[V])[N],(er)[N|N.])[N])[N]
Banker	((Bank)[N],(er)[N|N.])[N]
bankerott	(bankerott)[A]
Bankett	(Bankett)[N]
bankfaehig	((Bank)[N],(faehig)[A])[A]
Bankgeheimnis	((Bank)[N],((geheim)[A],(nis)[N|A.])[N])[N]
Bankguthaben	((Bank)[N],((guthaben)[F])[N])[N]
Bankhalter	((Bank)[N],((halt)[V],(er)[N|V.])[N])[N]
Bankkonto	((Bank)[N],(Konto)[N])[N]
Banknote	((Bank)[N],(Note)[N])[N]
bankrott	(bankrott)[A]
Bankrotterklaerung	((bankrott)[A],((er)[V|.V],((klar)[A])[V])[V],(ung)[N|AV.])[N]
Bankrotteur	((bankrott)[A],(eur)[N|A.])[N]
Bankwesen	((Bank)[N],(Wesen)[N])[N]
bannen	((Bann)[N])[V]
Bann	(Bann)[N]
Bannbruch	((Bann)[N],((brech)[V])[N])[N]
Bannbulle	((Bann)[N],(Bulle)[N])[N]
Banner	(((Bann)[N])[V],(er)[N|V.])[N]
Banner	(Banner)[N]
Bannfluch	((Bann)[N],((fluch)[V])[N])[N]
bannig	(bannig)[B]
Bannkreis	((Bann)[N],(Kreis)[N])[N]
Banse	(Banse)[N]
Baptismus	((bapt)[R],(ismus)[N|R.])[N]
Baptist	((bapt)[R],(ist)[N|R.])[N]
Baer	(Baer)[N]
bar	(bar)[A]
Bar	(Bar)[N]
Bar	(Bar)[N]
Barackenlager	((Baracke)[N],(n)[N|N.N],(Lager)[N])[N]
Barbar	(Barbar)[N]
Barbier	(Barbier)[N]
Barbiturat	(Barbiturat)[N]
barbusig	((bar)[A],(Busen)[N],(ig)[A|AN.])[A]
Bardame	((Bar)[N],(Dame)[N])[N]
Barde	(Barde)[N]
Barde	(Barde)[N]
Baerendienst	((Baer)[N],(en)[N|N.N],(Dienst)[N])[N]
Baerendreck	((Baer)[N],(en)[N|N.N],(Dreck)[N])[N]
Baerenfang	((Baer)[N],(en)[N|N.N],((fang)[V])[N])[N]
Baerenfell	((Baer)[N],(en)[N|N.N],(Fell)[N])[N]
Baerenhaut	((Baer)[N],(en)[N|N.N],(Haut)[N])[N]
Baerenhunger	((Baer)[N],(en)[N|N.N],(Hunger)[N])[N]
Baerenklau	((Baer)[N],(en)[N|N.N],(Klaue)[N])[N]
baerenmaessig	((Baer)[N],(en)[A|N.x],(maessig)[A|Nx.])[A]
baerenruhig	((Baer)[N],(en)[A|N.A],((Ruhe)[N],(ig)[A|N.])[A])[A]
baerenstark	((Baer)[N],(en)[A|N.A],(stark)[A])[A]
Baerentraube	((Baer)[N],(en)[N|N.N],(Traube)[N])[N]
Barfreimachung	((bar)[A],(((frei)[A],(mach)[V])[V],(ung)[N|V.])[N])[N]
Barfrost	((bar)[A],((frier)[V])[N])[N]
barfuss	((bar)[A],(Fuss)[N])[A]
barfuessig	((bar)[A],(Fuss)[N],(ig)[A|AN.])[A]
Bargeld	((bar)[A],(Geld)[N])[N]
barhaupt	((bar)[A],(Haupt)[N])[B]
barhaeuptig	((bar)[A],(Haupt)[N],(ig)[A|AN.])[A]
Barhocker	((Bar)[N],((hock)[V],(er)[N|V.])[N])[N]
baerig	((Baer)[N],(ig)[A|N.])[A]
Bark	(Bark)[N]
Barkasse	((bar)[A],(Kasse)[N])[N]
Barkauf	((bar)[A],((kauf)[V])[N])[N]
Barke	(Barke)[N]
barmen	(barm)[V]
Barmann	((Bar)[N],(mann)[])[N]
barmherzig	((barm)[V],((Herz)[N],(ig)[A|N.])[A])[A]
Barmherzigkeit	(((barm)[V],((Herz)[N],(ig)[A|N.])[A])[A],(keit)[N|A.])[N]
barock	(barock)[A]
Barock	(Barock)[N]
Barometerstand	((Barometer)[N],((steh)[V])[N])[N]
Baron	(Baron)[N]
Baronesse	((Baron)[N],(Esse)[N|N.])[N]
Barre	(Barre)[N]
Barren	(Barren)[N]
Barrikade	(Barrikade)[N]
barrikadieren	((Barrikade)[N],(ier)[V|N.])[V]
Barrister	(Barrister)[N]
barsch	(barsch)[A]
Barsch	(Barsch)[N]
Barschaft	((bar)[A],(schaft)[N|A.])[N]
Barschheit	((barsch)[A],(heit)[N|A.])[N]
Barsortiment	((bar)[A],((Sorte)[N],(iment)[N|N.])[N])[N]
Bart	(Bart)[N]
Baertchen	((Bart)[N],(chen)[N|N.])[N]
Bartel	((Bart)[N],(el)[N|N.])[N]
Bartenwal	((Bart)[N],(en)[N|N.N],(Wal)[N])[N]
Bartflechte	((Bart)[N],((flecht)[V],(e)[N|V.])[N])[N]
Barthaar	((Bart)[N],(Haar)[N])[N]
Baertierchen	((Baer)[N],(Tier)[N],(chen)[N|NN.])[N]
baertig	((Bart)[N],(ig)[A|N.])[A]
bartlos	((Bart)[N],(los)[A|N.])[A]
Bartscherer	((Bart)[N],(scher)[V],(er)[N|NV.])[N]
Bartwisch	((Bart)[N],(wisch)[V])[N]
Bartwuchs	((Bart)[N],((wuchs)[F])[N])[N]
Barzahlung	((bar)[A],((zahl)[V],(ung)[N|V.])[N])[N]
basal	((Base)[N],(al)[A|N.])[A]
Basalt	(Basalt)[N]
Basar	(Basar)[N]
Baeschen	((Base)[N],(chen)[N|N.])[N]
basieren	((Base)[N],(ier)[V|N.])[V]
Basilienkraut	(Basilienkraut)[N]
basisch	((Base)[N],(isch)[A|N.])[A]
Baskuele	(Baskuele)[N]
Baeslein	((Base)[N],(lein)[N|N.])[N]
bass	(bass)[A]
Basse	(Basse)[N]
Bassin	(Bassin)[N]
Bassist	((Bass)[N],(ist)[N|N.])[N]
Bast	(Bast)[N]
bastardieren	((Bastard)[N],(ier)[V|N.])[V]
Bastardierung	(((Bastard)[N],(ier)[V|N.])[V],(ung)[N|V.])[N]
Bastardschrift	((Bastard)[N],(Schrift)[N])[N]
Bastei	(Bastei)[N]
basteln	((Bast)[N],(el)[V|N.])[V]
bastfarbig	((Bast)[N],((Farbe)[N],(ig)[A|N.])[A])[A]
Bastler	(((Bast)[N],(el)[V|N.])[V],(er)[N|V.])[N]
Bataillon	((Bataille)[N],(on)[N|N.])[N]
Batik	(Batik)[N]
Batikdruck	((Batik)[N],((druck)[V])[N])[N]
batteriebetrieben	((Batterie)[N],(betrieben)[F])[A]
batteriegetrieben	((Batterie)[N],((getrieben)[F])[A])[A]
Batzen	(Batzen)[N]
Bau	((bau)[V])[N]
bauen	(bau)[V]
Bau	((bau)[V])[N]
Bauarbeiter	(((bau)[V])[N],((arbeit)[V],(er)[N|V.])[N])[N]
Bauart	((bau)[V],(Art)[N])[N]
Bauaufsicht	((bau)[V],(((auf)[V|.V],(seh)[V])[V])[N])[N]
Bauch	(Bauch)[N]
bauchen	((Bauch)[N])[V]
Bauchbinde	((Bauch)[N],((bind)[V],(e)[N|V.])[N])[N]
Baeuchelchen	((Bauch)[N],(el)[N|N.x],(chen)[N|Nx.])[N]
Bauchfell	((Bauch)[N],(Fell)[N])[N]
Bauchhoehle	((Bauch)[N],((hohl)[A],(e)[N|A.])[N])[N]
bauchig	((Bauch)[N],(ig)[A|N.])[A]
Bauchkneifen	((Bauch)[N],(kneifen)[F])[N]
Bauchladen	((Bauch)[N],(Laden)[N])[N]
Bauchlandung	((Bauch)[N],(((Land)[N])[V],(ung)[N|V.])[N])[N]
Baeuchlein	((Bauch)[N],(lein)[N|N.])[N]
baeuchlings	((Bauch)[N],(lings)[B|N.])[B]
Bauchnabel	((Bauch)[N],(Nabel)[N])[N]
bauchreden	((Bauch)[N],(red)[V])[V]
Bauchredner	(((Bauch)[N],(red)[V])[V],(ner)[N|V.])[N]
Bauchschmerz	((Bauch)[N],(Schmerz)[N])[N]
Bauchspeicheldruese	((Bauch)[N],(((spei)[V],(chel)[N|V.])[N],(Druese)[N])[N])[N]
bauchtanzen	((Bauch)[N],((Tanz)[N])[V])[V]
Bauchtanz	(((Bauch)[N],((Tanz)[N])[V])[V])[N]
Bauchung	((Bauch)[N],(ung)[N|N.])[N]
Bauchweh	((Bauch)[N],(Weh)[N])[N]
Baudenkmal	(((bau)[V])[N],((denk)[V],(Mal)[N])[N])[N]
Bauelement	((bau)[V],(Element)[N])[N]
Bauentwurf	((bau)[V],(((ent)[V|.V],(werf)[V])[V])[N])[N]
Bauer	((bau)[V],(er)[N|V.])[N]
Bauer	(Bauer)[N]
Baeuerchen	((Bauer)[N],(chen)[N|N.])[N]
Baeuerin	(((bau)[V],(er)[N|V.])[N],(in)[N|N.])[N]
baeuerisch	(((bau)[V],(er)[N|V.])[N],(isch)[A|N.])[A]
baeuerlich	(((bau)[V],(er)[N|V.])[N],(lich)[A|N.])[A]
Bauernbrot	(((bau)[V],(er)[N|V.])[N],(n)[N|N.N],(Brot)[N])[N]
Bauernbursche	(((bau)[V],(er)[N|V.])[N],(n)[N|N.N],(Bursche)[N])[N]
Bauernfang	(Bauernfang)[N]
Bauernfaenger	((Bauernfang)[N],(er)[N|N.])[N]
Bauernfaengerei	((Bauernfang)[N],(erei)[N|N.])[N]
Bauernfruehstueck	((Bauer)[N],(n)[N|N.N],((frueh)[A],(Stueck)[N])[N])[N]
Bauernhaus	((Bauer)[N],(n)[N|N.N],(Haus)[N])[N]
Bauernhof	((Bauer)[N],(n)[N|N.N],(Hof)[N])[N]
Bauernkrieg	((Bauer)[N],(n)[N|N.N],(Krieg)[N])[N]
Bauernlegen	((Bauer)[N],(n)[N|N.F],(legen)[F])[N]
Bauernschaft	((Bauer)[N],(n)[N|N.x],(schaft)[N|Nx.])[N]
bauernschlau	((Bauer)[N],(n)[A|N.A],(schlau)[A])[A]
Bauernstand	((Bauer)[N],(n)[N|N.N],((steh)[V])[N])[N]
Bauersfrau	((Bauer)[N],(s)[N|N.N],(Frau)[N])[N]
baufaellig	((bau)[V],(((fall)[V])[N],(ig)[A|N.])[A])[A]
Baufaelligkeit	(((bau)[V],(((fall)[V])[N],(ig)[A|N.])[A])[A],(keit)[N|A.])[N]
Baufeld	(((bau)[V])[N],(Feld)[N])[N]
Baufirma	((bau)[V],(Firma)[N])[N]
Bauflucht	(((bau)[V])[N],((flieh)[V])[N])[N]
Baufuehrer	(((bau)[V])[N],((fuehr)[V],(er)[N|V.])[N])[N]
Baugenehmigung	((bau)[V],((((ge)[A|.V],(nehm)[V])[A],(ig)[V|A.])[V],(ung)[N|V.])[N])[N]
Baugenossenschaft	((bau)[V],((Genosse)[N],(n)[N|N.x],(schaft)[N|Nx.])[N])[N]
Baugewerbe	(((bau)[V])[N],(Gewerbe)[N])[N]
Baugrube	(((bau)[V])[N],((grab)[V])[N])[N]
Bauherr	((bau)[V],(Herr)[N])[N]
Bauholz	(((bau)[V])[N],(Holz)[N])[N]
Bauhuette	((bau)[V],(Huette)[N])[N]
Baukasten	((bau)[V],(Kasten)[N])[N]
Bauklotz	((bau)[V],(Klotz)[N])[N]
Baukosten	(((bau)[V])[N],((kosten)[F])[N])[N]
Baukostenzuschuss	((((bau)[V])[N],((kosten)[F])[N])[N],(((zu)[V|.V],(schiess)[V])[V])[N])[N]
Baukunst	(((bau)[V])[N],(Kunst)[N])[N]
baulich	(((bau)[V])[N],(lich)[A|N.])[A]
Baulichkeit	((((bau)[V])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
Baum	(Baum)[N]
baumen	(baeum)[V]
Baumaschine	((bau)[V],(Maschine)[N])[N]
Baumaterial	((bau)[V],((Materie)[N],(ial)[N|N.])[N])[N]
Baumbluete	((Baum)[N],((blueh)[V],(te)[N|V.])[N])[N]
Baeumchen	((Baum)[N],(chen)[N|N.])[N]
Baumeister	(((bau)[V])[N],(Meister)[N])[N]
baumeln	((Baum)[N],(el)[V|N.])[V]
Baumfarn	((Baum)[N],(Farn)[N])[N]
Baumgrenze	((Baum)[N],(Grenze)[N])[N]
Baumlaeufer	((Baum)[N],((lauf)[V],(er)[N|V.])[N])[N]
Baeumlein	((Baum)[N],(lein)[N|N.])[N]
baumreich	((Baum)[N],(reich)[A])[A]
Baumstamm	((Baum)[N],(Stamm)[N])[N]
baumstark	((Baum)[N],(stark)[A])[A]
Baumwipfel	((Baum)[N],(Wipfel)[N])[N]
Baumwolle	((Baum)[N],(Wolle)[N])[N]
Baumwollgarn	(((Baum)[N],(Wolle)[N])[N],(Garn)[N])[N]
Baumwollhemd	(((Baum)[N],(Wolle)[N])[N],(Hemd)[N])[N]
Baumwollspinnerei	(((Baum)[N],(Wolle)[N])[N],((spinn)[V],(erei)[N|V.])[N])[N]
Bauordnung	(((bau)[V])[N],((ordn)[V],(ung)[N|V.])[N])[N]
Bauplan	((bau)[V],(Plan)[N])[N]
Bauplatz	(((bau)[V])[N],(Platz)[N])[N]
Bauprogramm	((bau)[V],(Programm)[N])[N]
Baurat	(((bau)[V])[N],(Rat)[N])[N]
Baurecht	((bau)[V],((recht)[A])[N])[N]
baureif	((bau)[V],(reif)[A|V.])[A]
bauschen	(bausch)[V]
Bausch	(Bausch)[N]
bausparen	((bau)[V],(spar)[V])[V]
Bausparkasse	(((bau)[V],(spar)[V])[V],(Kasse)[N])[N]
Bausparvertrag	(((bau)[V],(spar)[V])[V],(((ver)[V|.V],(trag)[V])[V])[N])[N]
Baustein	((bau)[V],(Stein)[N])[N]
Baustelle	(((bau)[V])[N],((stell)[V],(e)[N|V.])[N])[N]
Baustil	((bau)[V],(Stil)[N])[N]
Baustoff	((bau)[V],(Stoff)[N])[N]
Bauunternehmer	((bau)[V],(((unter)[P],(nehm)[V])[V],(er)[N|V.])[N])[N]
Bauvorhaben	((bau)[V],((vorhaben)[F])[N])[N]
Bauweise	((bau)[V],(weise)[A])[N]
Bauwerk	((bau)[V],(Werk)[N])[N]
Bauwesen	((bau)[V],(Wesen)[N])[N]
bauwuerdig	(((bau)[V])[N],(wuerdig)[A|N.])[A]
Bazille	(Bazille)[N]
Bazillentraeger	((Bazille)[N],(n)[N|N.Vx],(trag)[V],(er)[N|NxV.])[N]
Bazillus	(Bazillus)[N]
beabsichtigen	((be)[V|.Nx],(((ab)[V|.V],(seh)[V])[V])[N],(ig)[V|xN.])[V]
beachten	((be)[V|.V],(((acht)[Q])[N])[V])[V]
beachtenswert	((beachten)[F],(s)[A|F.A],(wert)[A])[A]
beachtlich	(((be)[V|.V],(((acht)[Q])[N])[V])[V],(lich)[A|V.])[A]
Beachtung	(((be)[V|.V],(((acht)[Q])[N])[V])[V],(ung)[N|V.])[N]
beackern	((be)[V|.V],((Acker)[N])[V])[V]
Beamte	(Beamte)[N]
Beamtenbeleidigung	((Beamte)[N],(n)[N|N.Vx],((be)[V|.Vx],(leid)[V],(ig)[V|xV.])[V],(ung)[N|NxV.])[N]
Beamtenschaft	((Beamte)[N],(n)[N|N.x],(schaft)[N|Nx.])[N]
Beamtentum	((Beamte)[N],(n)[N|N.x],(tum)[N|Nx.])[N]
beamtet	(beamtet)[A]
Beamtin	((Beamte)[N],(in)[N|N.])[N]
beaengstigen	((be)[V|.Nx],(Angst)[N],(ig)[V|xN.])[V]
beanspruchen	((be)[V|.N],(((an)[V|.V],(sprech)[V])[V])[N])[V]
beansprucht	((beansprucht)[F])[A]
Beanspruchung	(((be)[V|.N],(((an)[V|.V],(sprech)[V])[V])[N])[V],(ung)[N|V.])[N]
beanstanden	((be)[V|.N],(((an)[V|.V],(steh)[V])[V])[N])[V]
Beanstandung	(((be)[V|.N],(((an)[V|.V],(steh)[V])[V])[N])[V],(ung)[N|V.])[N]
beantragen	((be)[V|.N],(((an)[V|.V],(trag)[V])[V])[N])[V]
Beantragung	(((be)[V|.N],(((an)[V|.V],(trag)[V])[V])[N])[V],(ung)[N|V.])[N]
beantworten	((be)[V|.V],(antwort)[V])[V]
Beantwortung	(((be)[V|.V],(antwort)[V])[V],(ung)[N|V.])[N]
bearbeiten	((be)[V|.V],(arbeit)[V])[V]
bearbeitbar	(((be)[V|.V],(arbeit)[V])[V],(bar)[A|V.])[A]
Bearbeitung	(((be)[V|.V],(arbeit)[V])[V],(ung)[N|V.])[N]
beargwoehnen	((be)[V|.V],((Argwohn)[N])[V])[V]
Beat	(Beat)[N]
beatmen	((be)[V|.V],(atm)[V])[V]
beauflagen	((be)[V|.N],(((auf)[V|.V],(leg)[V])[V])[N])[V]
beaufschlagen	((be)[V|.V],((auf)[V|.V],(schlag)[V])[V])[V]
beaufsichtigen	((be)[V|.Nx],(((auf)[V|.V],(seh)[V])[V])[N],(ig)[V|xN.])[V]
Beaufsichtigung	(((be)[V|.Nx],(((auf)[V|.V],(seh)[V])[V])[N],(ig)[V|xN.])[V],(ung)[N|V.])[N]
beauftragen	((be)[V|.N],(((auf)[V|.V],(trag)[V])[V])[N])[V]
Beauftragte	((beauftragt)[F],(e)[N|F.])[N]
Beauftragung	(((be)[V|.N],(((auf)[V|.V],(trag)[V])[V])[N])[V],(ung)[N|V.])[N]
beaeugen	((be)[V|.N],(Auge)[N])[V]
beaugapfeln	((be)[V|.N],((Auge)[N],(Apfel)[N])[N])[V]
beaeugeln	((be)[V|.V],((Auge)[N],(el)[V|N.])[V])[V]
beaugenscheinigen	((be)[V|.Nx],((Auge)[N],(n)[N|N.N],(Schein)[N])[N],(ig)[V|xN.])[V]
beben	(beb)[V]
bebaendern	((be)[V|.Nx],((bind)[V])[N],(er)[V|xN.])[V]
bebartet	((be)[A|.Nx],(Bart)[N],(et)[A|xN.])[A]
bebauen	((be)[V|.V],(bau)[V])[V]
Bebauung	(((be)[V|.V],(bau)[V])[V],(ung)[N|V.])[N]
Beben	((beben)[F])[N]
bebildern	((be)[V|.Nx],(Bild)[N],(er)[V|xN.])[V]
Bebilderung	(((be)[V|.Nx],(Bild)[N],(er)[V|xN.])[V],(ung)[N|V.])[N]
bebrillt	((be)[A|.Nx],(Brille)[N],(t)[A|xN.])[A]
bebrueten	((be)[V|.V],(bruet)[V])[V]
bebunkern	((be)[V|.N],(Bunker)[N])[V]
Becher	(Becher)[N]
Becken	(Becken)[N]
Beckenbruch	((Becken)[N],((brech)[V])[N])[N]
bedachen	((be)[V|.N],(Dach)[N])[V]
bedacht	((bedacht)[F])[A]
Bedacht	(((bedacht)[F])[A])[N]
bedaechtigen	((((bedacht)[F])[A])[N],(ig)[V|N.])[V]
